Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
14516,C,Enes,Kanter,21.4,29,4800,CHI@OKC,OKC,CHI,,
9481,PF,Taj,Gibson,18.2,26,4700,CHI@OKC,CHI,OKC,,
9484,PG,Mo,Williams,20.9,21,4700,CLE@GS,CLE,GS,,
9479,SF,Luol,Deng,19.8,21,4700,NO@MIA,MIA,NO,,
14515,SG,Iman,Shumpert,15.3,4,4600,CLE@GS,CLE,GS,,
14501,PF,Tristan,Thompson,21.3,26,4600,CLE@GS,CLE,GS,,
9655,SG,J.J.,Redick,19.3,25,4600,LAC@LAL,LAC,LAL,,
9664,SF,Andre,Iguodala,20.8,28,4600,CLE@GS,GS,CLE,,
20064,PG,Matthew,Dellavedova,20,25,4500,CLE@GS,CLE,GS,,
9553,C,Roy,Hibbert,20.2,29,4500,LAC@LAL,LAL,LAC,,
9704,SG,Manu,Ginobili,19.2,25,4500,SA@HOU,SA,HOU,,
14519,PF,Donatas,Motiejunas,9.8,10,4400,SA@HOU,HOU,SA,,
12511,PG,Ishmael,Smith,22.1,27,4400,NO@MIA,NO,MIA,,
9601,C,Andrew,Bogut,20.5,21,4300,CLE@GS,GS,CLE,,
9547,SF,Mike,Dunleavy,0,23,4200,CHI@OKC,CHI,OKC,O,Back
12474,PG,Patrick,Beverley,17,23,4200,SA@HOU,HOU,SA,,
16220,SG,Dion,Waiters,17.7,29,4200,CHI@OKC,OKC,CHI,,
9849,SG,Gerald,Green,16.6,21,4100,NO@MIA,MIA,NO,,
23169,C,Steven,Adams,17.3,29,4100,CHI@OKC,OKC,CHI,,
12357,SF,Quincy,Pondexter,0,25,3900,NO@MIA,NO,MIA,O,Knee
9955,SG,Marcus,Thornton,17.7,27,3900,SA@HOU,HOU,SA,,
9939,PG,Patrick,Mills,15.7,30,3900,SA@HOU,SA,HOU,,
9606,SF,Corey,Brewer,14.1,30,3800,SA@HOU,HOU,SA,,
